[2020-09-25 23:04:05,904] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-09-25 23:04:06,061] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-09-25 23:04:07,518] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-09-25 23:04:07,519] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-09-25 23:04:07,519] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-09-25 23:04:07,520] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-09-25 23:04:25,663] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-09-25 23:04:25,772] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-09-25 23:04:46,163] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-09-25 23:04:46,164] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-09-25 23:04:46,164] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-09-25 23:04:46,164] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
